,ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
659,JohnsMa01 ,1989,Magic,Johnson,west,N,1,25,22.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0
660,JohnsMa01 ,1987,Magic,Johnson,west,N,1,39,17.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,15.0,4.0,9.0,9.0,0.0,0.0
661,JohnsMa01 ,1986,Magic,Johnson,west,N,1,34,9.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,1.0,0.0,0.0
662,JohnsMa01 ,1985,Magic,Johnson,west,N,1,28,6.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,0.0,0.0
663,JohnsMa01 ,1984,Magic,Johnson,west,N,1,31,21.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,14.0,7.0,8.0,7.0,0.0,0.0
664,JohnsMa01 ,1983,Magic,Johnson,west,N,1,37,15.0,0.0,0.0,9.0,22.0,0.0,0.0,0.0,0.0,13.0,6.0,2.0,2.0,0.0,0.0
665,JohnsMa01 ,1982,Magic,Johnson,west,N,1,33,17.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,16.0,7.0,4.0,3.0,0.0,0.0
666,JohnsMa01 ,1979,Magic,Johnson,west,N,1,24,12.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,2.0,0.0,0.0
667,JohnsMa01 ,1988,Earvin,Johnson,west,N,1,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,JohnsMa02 ,1985,Marques,Johnson,west,N,1,13,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
669,JohnsMa02 ,1982,Marques,Johnson,east,N,1,20,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,1.0,0.0,0.0
670,JohnsMa02 ,1981,Marques,Johnson,east,N,1,19,7.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,0.0,0.0
671,JohnsMa02 ,1980,Marques,Johnson,east,N,1,19,7.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,0.0,0.0
672,JohnsNe01 ,1970,Neil,Johnson,east,A,1,4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
673,JohnsNe02 ,1957,Neil,Johnston,east,N,1,22,14.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,13.0,6.0,2.0,2.0,0.0,0.0
674,JohnsNe02 ,1956,Neil,Johnston,east,N,1,23,19.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,12.0,8.0,3.0,3.0,0.0,0.0
675,JohnsNe02 ,1955,Neil,Johnston,east,N,1,25,17.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,11.0,7.0,0.0,0.0
676,JohnsNe02 ,1954,Neil,Johnston,east,N,1,15,3.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0
677,JohnsNe02 ,1953,Neil,Johnston,east,N,1,20,6.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,2.0,0.0,0.0
678,JohnsNe02 ,1952,Neil,Johnston,east,N,1,27,11.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,2.0,1.0,0.0,0.0
679,JohnsSt03 ,1972,Stew,Johnson,west,A,1,11,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
680,JohnsSt03 ,1973,Stew,Johnson,west,A,1,22,8.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,9.0,3.0,2.0,2.0,2.0,0.0
681,JohnsSt03 ,1974,Stew,Johnson,east,A,1,14,8.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,11.0,4.0,0.0,0.0,1.0,0.0
682,JonesBo01 ,1977,Bobby,Jones,west,N,1,18,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
683,JonesBo01 ,1976,Bobby,Jones,west,N,1,14,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
684,JonesBo01 ,1981,Bobby,Jones,east,N,1,16,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,1.0,1.0,0.0,0.0
685,JonesBo01 ,1980,Bobby,Jones,east,N,1,16,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,1.0,1.0,0.0,0.0
686,JonesBo01 ,1975,Bobby,Jones,Denver,A,1,29,24.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,2.0,12.0,8.0,11.0,8.0,0.0,0.0
687,JonesCa01 ,1974,Caldwell,Jones,west,A,1,15,5.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0
688,JonesEd01 ,1999,Eddie,Jones,east,N,1,21,10.0,3.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,7.0,4.0,0.0,0.0,3.0,2.0
689,JonesEd01 ,1997,Eddie,Jones,west,N,1,25,15.0,4.0,7.0,11.0,1.0,2.0,0.0,0.0,1.0,19.0,7.0,2.0,1.0,7.0,0.0
690,JonesEd01 ,1996,Eddie,Jones,west,N,1,17,10.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,7.0,4.0,1.0,0.0
691,JonesJi01 ,1967,Jimmy,Jones,west,A,1,19,10.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,9.0,4.0,4.0,2.0,0.0,0.0
692,JonesJi01 ,1968,Jimmy,Jones,west,A,1,18,14.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,4.0,6.0,6.0,0.0,0.0
693,JonesJi01 ,1969,Jimmy,Jones,west,A,1,14,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0
694,JonesJi01 ,1970,Jimmy,Jones,west,A,1,27,13.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,5.0,3.0,9.0,7.0,1.0,0.0
695,JonesJi01 ,1972,Jimmy,Jones,west,A,1,36,14.0,4.0,1.0,5.0,4.0,1.0,0.0,4.0,2.0,10.0,6.0,2.0,2.0,2.0,0.0
696,JonesJi01 ,1973,Jimmy,Jones,west,A,1,25,11.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,6.0,4.0,5.0,3.0,0.0,0.0
697,JonesLa01 ,1967,Larry,Jones,west,A,1,28,14.0,10.0,3.0,13.0,2.0,0.0,0.0,3.0,3.0,10.0,6.0,3.0,2.0,0.0,0.0
698,JonesLa01 ,1968,Larry,Jones,west,A,1,25,14.0,5.0,0.0,5.0,9.0,0.0,0.0,2.0,3.0,9.0,4.0,8.0,5.0,1.0,1.0
699,JonesLa01 ,1969,Larry,Jones,west,A,1,36,30.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,3.0,20.0,10.0,13.0,10.0,0.0,0.0
700,JonesLa01 ,1970,Larry,Jones,east,A,1,18,6.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0
701,JonesRi01 ,1972,Rich,Jones,west,A,1,14,0.0,4.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
702,JonesRi01 ,1973,Rich,Jones,west,A,1,19,4.0,4.0,4.0,8.0,2.0,0.0,1.0,1.0,4.0,11.0,2.0,0.0,0.0,1.0,0.0
703,JonesSa01 ,1967,Sam,Jones,east,N,1,15,5.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0
704,JonesSa01 ,1965,Sam,Jones,east,N,1,22,12.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,11.0,5.0,2.0,2.0,0.0,0.0
705,JonesSa01 ,1964,Sam,Jones,east,N,1,24,6.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,2.0,0.0,0.0
706,JonesSa01 ,1963,Sam,Jones,east,N,1,27,16.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,0.0,0.0
707,JonesSa01 ,1961,Sam,Jones,east,N,1,14,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0
708,JonesSt01 ,1969,Steve,Jones,west,A,1,18,14.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,9.0,4.0,6.0,6.0,0.0,0.0
709,JonesSt01 ,1970,Steve,Jones,west,A,1,21,9.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,9.0,4.0,1.0,1.0,0.0,0.0
710,JonesSt01 ,1971,Steve,Jones,west,A,1,19,9.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,7.0,3.0,2.0,2.0,1.0,1.0
711,JonesWi01 ,1971,Wil,Jones,west,A,1,10,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
712,JordaMi01 ,1997,Michael,Jordan,east,N,1,32,23.0,5.0,1.0,6.0,8.0,3.0,0.0,2.0,0.0,18.0,10.0,3.0,2.0,1.0,1.0
713,JordaMi01 ,1996,Michael,Jordan,east,N,1,26,14.0,8.0,3.0,11.0,11.0,2.0,0.0,3.0,4.0,14.0,5.0,7.0,4.0,0.0,0.0
714,JordaMi01 ,1995,Michael,Jordan,east,N,1,22,20.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,11.0,8.0,4.0,4.0,0.0,0.0
715,JordaMi01 ,1992,Michael,Jordan,west,N,1,36,30.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,24.0,10.0,13.0,9.0,0.0,0.0
716,JordaMi01 ,1991,Michael,Jordan,east,N,1,31,18.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0
717,JordaMi01 ,1990,Michael,Jordan,east,N,1,36,26.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,10.0,7.0,6.0,0.0,0.0
718,JordaMi01 ,1989,Michael,Jordan,east,N,1,29,17.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0
719,JordaMi01 ,1988,Michael,Jordan,east,N,1,33,28.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,23.0,13.0,4.0,2.0,0.0,0.0
720,JordaMi01 ,1987,Michael,Jordan,east,N,1,29,40.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,23.0,17.0,6.0,6.0,0.0,0.0
721,JordaMi01 ,1986,Michael,Jordan,east,N,1,28,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,5.0,2.0,1.0,0.0,0.0
722,JordaMi01 ,1985,Michael,Jordan,east,N,1,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,JordaMi01 ,1984,Michael,Jordan,east,N,1,22,7.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,3.0,0.0,0.0
724,JordaMi01 ,2002,Michael,Jordan,east,N,1,36,20.0,3.0,2.0,5.0,2.0,2.0,0.0,2.0,3.0,27.0,9.0,2.0,2.0,2.0,0.0
725,JordaMi01 ,2001,Michael,Jordan,east,N,1,22,8.0,4.0,0.0,4.0,3.0,2.0,0.0,1.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0
726,KauffBo01 ,1972,Bob,Kauffman,east,N,1,9,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0
727,KauffBo01 ,1971,Bob,Kauffman,east,N,1,7,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
728,KauffBo01 ,1970,Bob,Kauffman,east,N,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
729,KempSh01  ,1997,Shawn,Kemp,east,N,1,25,12.0,9.0,2.0,11.0,2.0,4.0,0.0,4.0,2.0,10.0,5.0,2.0,2.0,1.0,0.0
730,KempSh01  ,1996,Shawn,Kemp,west,N,1,19,10.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,7.0,4.0,2.0,1.0,1.0,0.0
731,KempSh01  ,1995,Shawn,Kemp,west,N,1,22,13.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,2.0,1.0,0.0,0.0
732,KempSh01  ,1994,Shawn,Kemp,west,N,1,23,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,5.0,0.0,0.0
733,KempSh01  ,1993,Shawn,Kemp,west,N,1,22,6.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0
734,KempSh01  ,1992,Shawn,Kemp,east,N,1,9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
735,KenonLa01 ,1978,Larry,Kenon,east,N,1,7,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0
736,KenonLa01 ,1977,Larry,Kenon,east,N,1,20,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0
737,KenonLa01 ,1973,Larry,Kenon,east,A,1,22,18.0,5.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,12.0,8.0,3.0,2.0,0.0,0.0
738,KenonLa01 ,1974,Larry,Kenon,east,A,1,16,12.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0
739,KenonLa01 ,1975,Larry,Kenon,AllStars,A,1,20,10.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0
740,KerrJo01  ,1962,John,Kerr,east,N,1,11,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0
741,KerrJo01  ,1958,John,Kerr,east,N,1,21,7.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,1.0,0.0,0.0
742,KerrJo01  ,1955,John,Kerr,east,N,1,16,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0
743,KeyeJu01  ,1970,Julius,Keye,west,A,1,7,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
